932 Actor6 <= Actor6 [label="Remind"];
933 Actor6 => Actor17 [label="Rumor"];
934 Actor6 => Actor6 [label="Remind"];
935 Actor6 <= Actor6 [label="Remind"];
936 Actor6 => Actor29 [label="Rumor"];
937 Actor6 => Actor6 [label="Remind"];
938 Actor6 <= Actor6 [label="Remind"];
939 Actor6 => Actor17 [label="Rumor"];
940 Actor6 => Actor6 [label="Remind"];
941 Actor6 <= Actor17 [label="RemoveMe(G"];
942 Actor6 <= Actor6 [label="Remind"];
943 Actor6 => Actor30 [label="Rumor"];
944 Actor6 => Actor6 [label="Remind"];
945 Actor6 <= Actor6 [label="Remind"];
946 Actor6 => Actor29 [label="Rumor"];
947 Actor6 => Actor6 [label="Remind"];
948 Actor6 <= Actor6 [label="Remind"];
949 Actor6 => Actor30 [label="Rumor"];
950 Actor6 => Actor6 [label="Remind"];
951 Actor6 <= Actor6 [label="Remind"];
952 Actor6 => Actor29 [label="Rumor"];
953 Actor6 => Actor6 [label="Remind"];
954 Actor6 <= Actor6 [label="Remind"];
